Time,Position y (m),Velocity y (m/s),Moving Average (Velocity) w/ 25 points,Acceleration (m/s^2),Moving Acceleration (m/s^2)
1.25,3.161921078,2.935334797,2.957616679,0.002629044,-1.069328542
1.254166667,3.174878157,3.109699006,2.973320744,3.768975581,-0.811349981
1.258333333,3.1863278,2.747914241,2.954973428,-4.403355886,-1.032560811
1.2625,3.198693146,2.967683,2.959148739,1.002074694,-0.960287107
1.266666667,3.211007096,2.955347967,2.94866731,-2.51554301,-1.002796515
1.270833333,3.223048914,2.890036411,2.951379162,0.650844524,-0.958056612
1.275,3.234809707,2.822590239,2.930244839,-5.072237689,-1.179923786
1.279166667,3.248631853,3.317315231,2.944436158,3.405916746,-1.052462392
1.283333333,3.260511785,2.851183553,2.945535782,0.263909723,-0.972033229
1.2875,3.2724893,2.874603722,2.926748201,-4.509019496,-1.253000016
1.291666667,3.285103508,3.027409888,2.937566079,2.596290742,-1.001592986
1.295833333,3.297093586,2.877618752,2.939695249,0.511000894,-0.891975603
1.3,3.308927159,2.840057382,2.925292543,-3.456649428,-1.078853221
1.304166667,3.320998402,2.897098305,2.925453765,0.038693122,-0.968047743
1.308333333,3.333211779,2.931210616,2.930568048,1.227427875,-0.726746688
1.3125,3.34508283,2.849052119,2.930812659,0.058706765,-0.682529271
1.316666667,3.356305818,2.693517259,2.915835585,-3.594497812,-0.790311266
1.320833333,3.368439079,2.911982476,2.919960484,0.989975886,-0.684634343
1.325,3.379913824,2.753938865,2.920001396,0.009818863,-0.635978639
1.329166667,3.391425752,2.762862765,2.896317056,-5.684241583,-0.933717532
1.333333333,3.402602351,2.682383765,2.891200134,-1.228061507,-0.913199939
1.3375,3.413613155,2.642593014,2.880802577,-2.495413571,-0.863934113
1.341666667,3.425511816,2.855678426,2.879917595,-0.212395566,-0.864688196
1.345833333,3.437790106,2.946789781,2.876130697,-0.908855587,-0.898661189
1.35,3.449204112,2.739361393,2.875330519,-0.1920428,-0.789841979
1.354166667,3.460726761,2.765435781,2.868534558,-1.63103055,-0.855188363
1.358333333,3.472929337,2.928618074,2.861291321,-1.738376943,-1.075482464
1.3625,3.485989373,3.134408723,2.8767511,3.710347027,-0.750934347
1.366666667,3.497596926,2.785812704,2.869476288,-1.745954841,-0.860855529
1.370833333,3.509382495,2.82853671,2.864403838,-1.217388071,-0.808929331
1.375,3.52322027,3.321065917,2.881645018,4.137883262,-0.669447782
1.379166667,3.534622536,2.736543835,2.878203162,-0.826045477,-0.499600093
1.383333333,3.545978363,2.72539836,2.854526487,-5.682401961,-0.863132841
1.3875,3.557646203,2.800281719,2.852490414,-0.488657607,-0.893235535
1.391666667,3.568664254,2.644332332,2.843279558,-2.21060534,-0.801298968
1.395833333,3.582419759,3.301321009,2.854236003,2.629546761,-0.799968728
1.4,3.593766783,2.723285902,2.848062689,-1.481595361,-0.879672578
1.404166667,3.604400063,2.551987214,2.836539882,-2.76547362,-0.852025546
1.408333333,3.61555946,2.678255267,2.827786161,-2.100893167,-0.937608997
1.4125,3.626789692,2.695255606,2.818347961,-2.265168091,-1.077312836
1.416666667,3.63814681,2.72570841,2.813414212,-1.184099608,-1.127025091
1.420833333,3.650066652,2.860762062,2.820104004,1.605550113,-0.919023174
1.425,3.660810002,2.578404028,2.806760866,-3.202353103,-1.086716333
1.429166667,3.671617362,2.593766416,2.800353968,-1.537655509,-1.148615308
1.433333333,3.683437668,2.836873286,2.803314389,0.710501007,-0.892825604
1.4375,3.694393413,2.62937895,2.801194197,-0.508846227,-0.864056993
1.441666667,3.704743701,2.484068944,2.794853234,-1.521831067,-0.825113693
1.445833333,3.718460537,3.292040714,2.812307725,4.189077968,-0.649054752
1.45,3.729779371,2.716520091,2.803096938,-2.21058902,-0.701124089
1.454166667,3.741253078,2.753689794,2.803670074,0.137552658,-0.687940271
1.458333333,3.75228995,2.648849312,2.799006615,-1.119230108,-0.667468253
1.4625,3.763931881,2.794063254,2.793624422,-1.291726271,-0.649602226
1.466666667,3.77591519,2.875994153,2.78328784,-2.48077987,-0.897247302
1.470833333,3.78630334,2.493156065,2.771581574,-2.809503739,-0.939789258
1.475,3.797592303,2.70935124,2.766814155,-1.144180513,-0.936860956
1.479166667,3.809033625,2.745917173,2.743808205,-5.521427942,-1.323233404
1.483333333,3.8212305,2.927249928,2.751436449,1.830778491,-1.216960445
1.4875,3.833618898,2.973215733,2.761349144,2.379046782,-0.894502495
1.491666667,3.845052121,2.743973394,2.759096811,-0.540559916,-0.896578588
1.495833333,3.856156862,2.665137771,2.759929029,0.199732205,-0.800165086
1.5,3.868265593,2.906095485,2.744120008,-3.794165026,-1.057113557
